date,hair_loss,stay_up_late,pressure_level,coffee_consumed,brain_working_duration,stress_level,shampoo_brand,swimming,hair_washing,hair_grease,libido
2021-01-01,Few,2,Low,0,1,Low,Pantene,No,Y,3.0,1
2021-01-02,Few,0,Low,0,3,Low,Pantene,No,N,1.0,1
2021-01-03,Medium,3,Low,1,0,Low,Pantene,Yes,Y,2.0,2
2021-01-04,Few,2,Low,0,1,Low,Pantene,No,N,3.0,3
2021-01-05,Few,2,Low,0,1,Low,Pantene,No,Y,1.0,2
2021-01-06,Few,0,Low,0,3,Low,Pantene,Yes,Y,1.0,3
2021-01-07,Medium,3,Low,1,1,Low,Pantene,Yes,Y,2.0,3
2021-01-08,Few,0,Low,0,1,Low,Pantene,No,N,3.0,3
2021-01-09,Few,2,Low,0,2,Low,Pantene,No,N,2.0,4
2021-01-10,Medium,1,Low,1,2,Low,Pantene,Yes,Y,1.0,5
2021-01-11,Medium,0,Low,1,2,Low,Pantene,No,N,2.0,5
2021-01-12,Medium,2,Low,1,1,Low,Pantene,No,N,2.0,5
2021-01-13,Medium,0,Low,1,2,Low,Pantene,Yes,Y,1.0,5
2021-01-14,Medium,2,Low,1,1,Low,Pantene,Yes,Y,2.0,5
2021-01-15,Medium,3,Low,1,1,Low,Pantene,No,N,1.0,4
2021-01-16,Few,1,Low,0,1,Low,Pantene,No,Y,3.0,4
2021-01-17,Few,2,Low,0,0,Low,Pantene,Yes,Y,2.0,1
2021-01-18,Few,2,Low,0,1,Low,Pantene,No,N,1.0,1
2021-01-19,Few,2,Low,0,2,Low,Pantene,No,N,1.0,1
2021-01-20,Few,1,Low,0,0,Low,Pantene,Yes,Y,1.0,2
2021-01-21,Few,1,Low,0,2,Low,Pantene,Yes,Y,2.0,2
2021-01-22,Few,0,Low,0,2,Low,Pantene,No,N,2.0,3
2021-01-23,Few,1,Low,0,1,Low,Pantene,No,N,2.0,4
2021-01-24,Few,1,Low,0,2,Low,Pantene,Yes,Y,2.0,2
2021-01-25,Few,1,Low,0,0,Low,Pantene,No,N,2.0,2
2021-01-26,Few,2,Low,0,2,Low,Pantene,No,Y,2.0,3
2021-01-27,Medium,1,Low,1,2,Low,Pantene,Yes,Y,1.0,5
2021-01-28,Medium,0,Low,1,0,Low,Pantene,Yes,Y,2.0,5
2021-01-29,Medium,2,Low,1,1,Low,Pantene,No,N,2.0,5
2021-01-30,Medium,1,Low,1,1,Low,Pantene,No,N,1.0,5
2021-01-31,Medium,3,Low,1,1,Low,Pantene,Yes,Y,2.0,1
2021-02-01,Few,0,Low,0,0,Low,Pantene,No,N,3.0,1
2021-02-02,Few,2,Low,0,3,Low,Pantene,No,N,2.0,1
2021-02-03,Medium,3,Low,1,1,Low,Pantene,Yes,Y,1.0,1
2021-02-04,Medium,3,Low,1,1,Low,Pantene,Yes,Y,3.0,3
2021-02-05,Few,2,Low,0,2,Low,Pantene,No,N,3.0,2
2021-02-06,Few,2,Low,0,2,Low,Pantene,No,N,1.0,2
2021-02-07,Few,1,Low,0,3,Low,Pantene,Yes,Y,1.0,3
2021-02-08,Medium,3,Low,1,2,Low,Pantene,No,N,2.0,5
2021-02-09,Medium,2,Low,1,2,Low,Pantene,No,N,3.0,5
2021-02-10,Medium,2,Low,1,3,Low,Pantene,Yes,Y,1.0,5
2021-02-11,Medium,1,Low,1,0,Low,Pantene,Yes,Y,1.0,5
2021-02-12,Medium,1,Low,1,2,Low,Pantene,No,N,2.0,5
2021-02-13,Few,2,Low,0,2,Low,Pantene,No,N,2.0,3
2021-02-14,Medium,3,Low,1,2,Low,Pantene,Yes,Y,1.0,1
2021-02-15,Medium,3,Low,1,1,Low,Pantene,No,N,3.0,1
2021-02-16,Medium,3,Low,1,3,Low,Pantene,No,N,3.0,2
2021-02-17,Few,2,Low,0,3,Low,Pantene,Yes,Y,3.0,1
2021-02-18,Few,2,Low,0,1,Low,Pantene,Yes,Y,1.0,2
2021-02-19,Few,1,Low,0,1,Low,Pantene,No,N,1.0,1
2021-02-20,Few,2,Low,0,2,Low,Pantene,No,N,2.0,2
2021-02-21,Few,0,Low,0,1,Low,Pantene,Yes,Y,1.0,4
2021-02-22,Medium,1,Low,1,1,Low,Hair & Shoulder,No,N,2.0,5
2021-02-23,Medium,0,Low,1,0,Low,Hair & Shoulder,No,N,2.0,5
2021-02-24,Medium,2,Low,1,1,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-02-25,Medium,3,Low,1,3,Low,Hair & Shoulder,Yes,Y,1.0,5
2021-02-26,Medium,1,Low,1,0,Low,Hair & Shoulder,No,N,3.0,5
2021-02-27,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,2.0,3
2021-02-28,Few,2,Low,0,3,Low,Hair & Shoulder,Yes,Y,1.0,1
2021-03-01,Few,0,Low,0,0,Low,Hair & Shoulder,No,N,1.0,1
2021-03-02,Few,2,Low,0,1,Low,Hair & Shoulder,No,N,2.0,1
2021-03-03,Few,2,Low,0,2,Low,Hair & Shoulder,Yes,Y,1.0,1
2021-03-04,Medium,3,Low,1,2,Low,Hair & Shoulder,Yes,Y,1.0,1
2021-03-05,Few,0,Low,0,2,Low,Hair & Shoulder,No,N,3.0,2
2021-03-06,Medium,3,Low,1,2,Low,Hair & Shoulder,No,N,2.0,1
2021-03-07,Few,2,Low,0,2,Low,Hair & Shoulder,Yes,Y,3.0,2
2021-03-08,Few,2,Low,0,6,Low,Hair & Shoulder,No,N,1.0,3
2021-03-09,Few,1,Low,0,0,Low,Hair & Shoulder,No,N,1.0,3
2021-03-10,Medium,1,Low,1,7,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-03-11,Medium,1,Low,1,1,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-03-12,Medium,2,Low,1,5,Low,Hair & Shoulder,No,N,2.0,5
2021-03-13,Medium,1,Low,1,0,Low,Hair & Shoulder,No,N,1.0,5
2021-03-14,Few,0,Low,0,1,Low,Hair & Shoulder,Yes,Y,2.0,4
2021-03-15,Few,1,Low,0,6,Low,Hair & Shoulder,No,N,2.0,1
2021-03-16,Few,0,Low,0,2,Low,Hair & Shoulder,No,N,2.0,1
2021-03-17,Few,2,Low,0,7,Low,Hair & Shoulder,Yes,Y,2.0,1
2021-03-18,Few,1,Low,0,1,Low,Hair & Shoulder,Yes,Y,1.0,1
2021-03-19,Medium,3,Low,1,5,Low,Hair & Shoulder,No,N,2.0,2
2021-03-20,Few,2,Medium,0,2,Low,Hair & Shoulder,No,N,3.0,3
2021-03-21,Few,1,Medium,0,1,Medium,Hair & Shoulder,Yes,Y,1.0,4
2021-03-22,Medium,2,Medium,1,8,Medium,Hair & Shoulder,No,N,4.0,5
2021-03-23,Medium,3,Medium,2,8,Medium,Hair & Shoulder,No,N,4.0,5
2021-03-24,Medium,4,Medium,3,9,Medium,Hair & Shoulder,Yes,Y,4.0,5
2021-03-25,Medium,3,Medium,3,9,Medium,Hair & Shoulder,Yes,Y,4.0,3
2021-03-26,Few,3,Medium,3,10,Medium,Hair & Shoulder,No,N,4.0,1
2021-03-27,Medium,4,Low,2,10,Medium,Hair & Shoulder,No,Y,4.0,1
2021-03-28,Medium,3,Low,0,2,Low,Hair & Shoulder,No,N,3.0,1
2021-03-29,Medium,2,Low,0,6,Low,Hair & Shoulder,No,Y,3.0,1
2021-03-30,Few,3,Low,0,0,Low,Hair & Shoulder,No,N,3.0,2
2021-03-31,Few,2,Medium,0,7,Low,Hair & Shoulder,No,Y,3.0,2
2021-04-01,Few,3,Medium,0,2,Low,Hair & Shoulder,No,N,3.0,2
2021-04-02,Few,4,Medium,3,8,Low,Hair & Shoulder,No,Y,4.0,2
2021-04-03,Medium,4,Medium,3,8,Low,Hair & Shoulder,No,N,4.0,2
2021-04-04,Medium,2,Medium,0,1,Low,Hair & Shoulder,No,Y,4.0,5
2021-04-05,Medium,2,Medium,0,6,Low,Hair & Shoulder,No,N,3.0,5
2021-04-06,Medium,2,Medium,0,3,Medium,Hair & Shoulder,No,Y,3.0,5
2021-04-07,Medium,3,High,3,7,High,Hair & Shoulder,No,N,4.0,0
2021-04-08,Medium,2,High,4,7,High,Hair & Shoulder,No,Y,4.0,0
2021-04-09,Many,2,High,4,7,High,Hair & Shoulder,No,N,4.0,0
2021-04-10,Many,4,High,4,8,High,Hair & Shoulder,No,Y,4.0,5
2021-04-11,Many,4,High,4,7,High,Hair & Shoulder,No,N,4.0,4
2021-04-12,Many,5,High,3,7,High,Hair & Shoulder,No,Y,4.0,5
2021-04-13,Many,6,High,5,10,High,Hair & Shoulder,No,N,5.0,5
2021-04-14,Many,0,High,0,7,High,Hair & Shoulder,No,Y,5.0,4
2021-04-15,Many,0,High,0,2,High,Hair & Shoulder,No,N,5.0,3
2021-04-16,Many,0,High,5,12,Very High,Hair & Shoulder,No,Y,5.0,5
2021-04-17,A lot,3,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,5
2021-04-18,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,Y,5.0,3
2021-04-19,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,4
2021-04-20,A lot,6,Very High,7,16,Very High,Hair & Shoulder,No,Y,5.0,5
2021-04-21,A lot,8,Very High,8,18,Very High,Hair & Shoulder,No,N,5.0,4
